ID,title,descr,stock,price,createdAt,createdBy,modifiedAt,modifiedBy
1,Laptop,High performance laptop,50,75000,2026-04-01T10:00:00Z,admin,2026-04-10T12:00:00Z,admin
2,Mobile,Latest smartphone,120,25000,2026-04-02T11:30:00Z,admin,2026-04-11T13:15:00Z,user1
3,Headphones,Noise cancelling headphones,200,5000,2026-04-03T09:20:00Z,user1,2026-04-12T14:40:00Z,user2
4,Keyboard,Mechanical keyboard,80,3000,2026-04-04T08:10:00Z,user2,2026-04-13T15:25:00Z,admin
5,Mouse,Wireless mouse,150,1500,2026-04-05T07:45:00Z,admin,2026-04-14T16:05:00Z,user1
6,Monitor,4K UHD monitor,60,20000,2026-04-06T06:30:00Z,user1,2026-04-15T17:30:00Z,user2
7,Printer,All-in-one printer,40,12000,2026-04-07T05:15:00Z,user2,2026-04-16T18:20:00Z,admin
8,Tablet,Android tablet,90,18000,2026-04-08T04:50:00Z,admin,2026-04-17T19:10:00Z,user1
9,Speaker,Bluetooth speaker,110,3500,2026-04-09T03:35:00Z,user1,2026-04-18T20:00:00Z,user2
10,Camera,Digital camera,30,45000,2026-04-10T02:20:00Z,user2,2026-04-19T21:45:00Z,admin
